team,champion_probability
Spain,0.1486
Argentina,0.1256
France,0.0906
Turkiye,0.0654
England,0.0652
Germany,0.059
Netherlands,0.0584
Brazil,0.0568
Morocco,0.0448
Portugal,0.0374
Japan,0.0272
Colombia,0.0246
Mexico,0.0228
Belgium,0.0164
Croatia,0.016
Switzerland,0.016
Uruguay,0.0132
Ecuador,0.0124
Senegal,0.01
Algeria,0.0098
Paraguay,0.0084
Iran,0.0076
Canada,0.0076
Norway,0.0072
United States,0.0068
South Korea,0.0068
Egypt,0.0064
Cote d'Ivoire,0.0062
Australia,0.0048
Sweden,0.0034
Austria,0.003
Tunisia,0.0018
Uzbekistan,0.0016
Scotland,0.0014
Panama,0.0012
Haiti,0.0008
Czech Republic,0.0008
Jordan,0.0008
South Africa,0.0008
Ghana,0.0006
Congo DR,0.0006
Iraq,0.0006
Bosnia-Herzegovina,0.0004
Qatar,0.0002
Cabo Verde,0.0
Saudi Arabia,0.0
New Zealand,0.0
Curacao,0.0
