team,p_R32,p_R16,p_QF,p_SF,p_F,p_Champion
Spain,0.9,0.6094,0.412,0.2836,0.206,0.1476
Argentina,0.7596,0.4886,0.3044,0.197,0.1338,0.09
England,0.7718,0.491,0.2914,0.1836,0.1156,0.0696
France,0.7012,0.4496,0.2708,0.1648,0.103,0.0668
Morocco,0.7166,0.4258,0.2488,0.1522,0.0948,0.0552
Germany,0.7742,0.4468,0.2518,0.145,0.0862,0.0472
Brazil,0.7894,0.4758,0.2808,0.1644,0.09,0.044
Netherlands,0.7608,0.44,0.2416,0.1384,0.0754,0.041
Portugal,0.6912,0.4034,0.2274,0.1286,0.072,0.038
Japan,0.6776,0.395,0.2324,0.1362,0.0728,0.0378
Ecuador,0.7976,0.4486,0.2476,0.1322,0.0726,0.037
Colombia,0.7548,0.4338,0.2432,0.1402,0.0688,0.033
Turkiye,0.6492,0.3736,0.2038,0.1074,0.057,0.0268
Mexico,0.7484,0.429,0.2344,0.1196,0.0536,0.0228
Croatia,0.7002,0.3738,0.1888,0.0938,0.0478,0.0208
Switzerland,0.7246,0.3902,0.1986,0.0906,0.0414,0.0186
Norway,0.6642,0.3554,0.1834,0.0974,0.044,0.0182
Senegal,0.7016,0.369,0.1848,0.0868,0.04,0.0156
Uruguay,0.754,0.3952,0.2068,0.0958,0.041,0.0144
South Korea,0.7398,0.3744,0.1778,0.084,0.0356,0.0134
Paraguay,0.6942,0.3698,0.1872,0.0868,0.035,0.0124
Iran,0.619,0.3204,0.1578,0.0742,0.0306,0.0116
Canada,0.7268,0.37,0.1856,0.0794,0.0322,0.011
Australia,0.6038,0.3006,0.1472,0.0702,0.0312,0.011
United States,0.7154,0.3452,0.1674,0.0776,0.0308,0.0106
Algeria,0.6374,0.3166,0.1566,0.0672,0.0264,0.0098
Belgium,0.6814,0.3328,0.155,0.0692,0.0282,0.0096
Egypt,0.6874,0.3356,0.153,0.0652,0.0264,0.0068
Cote d'Ivoire,0.6796,0.3066,0.1352,0.0562,0.0176,0.0062
Uzbekistan,0.6332,0.283,0.1252,0.0514,0.0168,0.0056
Jordan,0.6178,0.27,0.1112,0.0412,0.0126,0.0054
Panama,0.633,0.2812,0.1148,0.041,0.0156,0.0052
Austria,0.6462,0.2962,0.1394,0.0574,0.0164,0.0048
Sweden,0.6056,0.2668,0.1172,0.0482,0.016,0.0048
Scotland,0.629,0.2816,0.1168,0.0498,0.0168,0.004
Tunisia,0.6252,0.2524,0.0954,0.0354,0.0118,0.0038
New Zealand,0.6848,0.2838,0.1174,0.04,0.0152,0.0038
Iraq,0.599,0.2496,0.099,0.0356,0.01,0.0032
Saudi Arabia,0.5506,0.2286,0.08,0.0254,0.0072,0.0024
Congo DR,0.5994,0.2274,0.0838,0.0288,0.0086,0.0022
Qatar,0.5954,0.192,0.062,0.0154,0.0042,0.0014
Haiti,0.532,0.193,0.0736,0.023,0.0068,0.0014
Bosnia-Herzegovina,0.6156,0.2228,0.0816,0.0244,0.008,0.0014
Czech Republic,0.557,0.2112,0.0758,0.028,0.007,0.0012
Ghana,0.566,0.2138,0.0786,0.0256,0.0064,0.0008
South Africa,0.6222,0.2266,0.0774,0.0206,0.006,0.0008
Cabo Verde,0.4452,0.1418,0.0446,0.0126,0.0032,0.0006
Curacao,0.421,0.1122,0.0306,0.0086,0.0016,0.0004
